number,id,reviewText:,summary:,Label
777,10755,Expected that it was a package of three given the cost...I was taken...go to Walmart and get them cheaper.,disappointed,2
778,10766,"It is very difficult to find any VHS blank tapes let alone high quality 160 tapes. The VCRs will fade into the sunset and VHS tapes are no longer manufactured over the next few years.  \Be smart, buy now.\",Top Quality; How much longer availability?,1
779,10783,"I ordered it for the phones (v-tech) I ordered ...........It was listed right under the phones. HA !!! Guess what? No holes in the phone !! it said it also fits wireless........ Nope !! CD player? Nope Kindle,..... Laptop....NOPE  NOPE  NOPE !!!!!  What in the Hell is it supposed to fit ?? Right now it is in the box DECORATING MY DESK&#62;!!! And the rinky dink co. it came from said to call V-TECH.... And.... V-teck said to call the co it was shipped from...... OH YEAH !!!! I have time for THIS !!!!!!!  And money to waste ( NOT )",WHAT ?????,2
780,10798,"Product delivered promptly as advertised. Product by APC has reliable reputation, have had no problems with product.",Good protector,1
781,10802,I purchased this product because it was highly recommended.  I found that the time to ship from Amazon to my home was excellent and I plan on using Amazon for future purchases.,APC PNOTEPRO3,1
782,10833,"If you are attempting to build or upgrade a computer on a budget, Creative Labs' Sound Blaster Live! Value card is more than worthy of your consideration.  I've recently moved up to a better sound card, but the Live! Value card gave me three years of quality audio on my old computer.  It is more than capable of providing true 3D sound depending on your speaker setup.  The Environmental Audio options feature preconfigured settings for a number of popular PC games, and they also make for some interesting types of audio atmospheres for your CD music, featuring such options as padded room, forest, hallway, arena, etc.  I did sometimes run into a problem playing music CDs in Windows Media Player or Real One Player-sometimes my Environmental Audio settings seemed to override my individual player settings and sometimes they didn't.  Overall, though, music CDs will sound quite good with this sound card and will suit the needs of most users.  All but the most intense gamers should also be happy with this card's performance.  If you want better audio, you naturally need to pay a little more for a more technologically advanced sound card.  For the average user, this card will more than meet your audio needs without inflicting significant damage on your wallet.",A quality card for a low price,1
783,10834,"This is an INcredible sound card, supports eax, makes the games sound enviormantal realstic and 3d sound extreme, and is a very realstic and great sound card I'd reccomend for any dvd viewer or musician or gamer!!!!!!!!!!!!!",INCREDIBLE!,1
784,10842,I received a REX 3 not a REX 5 and there was no docking station included. Fine print says docking station sold separately.,wrong device,5
785,10857,"i was actually pretty excited to get these, but when it arrived, it was defective. the monoculars didn't align, causing me to see double and 2 picture, not as one. also, there seemed to be a scratch of some sort on the right monocular. i tried to clean or blow it out to see if it was just an eye lash, but it never went away. i sent them back for a return.",defective upon arrival.,"2,3"
786,10882,"The only knock on these binoculars is that the image can be unsteady, but that's a product of the 16X magnification, so it's not really a product fault. If you've got a steady hand, you'll love these things. Great for sporting events or the theater, and great bang for the buck. Highly recommended.",Very nice product,1
787,10885,A good Binocular would cost 10 times as much as this one ($400 and up).Just make one simple test: take this binocular and a good quality one (expensive) to watch Milky Way during dark clear night. You will see the huge difference.Overall: You get what you have paid for. Poor quality Binocular. Do not understand why this junk got such a big rating here.Stay away.,You get what you have paid for.,2
788,10887,I bought a pair as gift and person I bought it for really likes them.  I compared with others and this was good buy for the money,Good binocular for the money,1
789,10888,"The actual dimnetions of this product are 7\ long and 7\ wide ( at the end of the product- the part that we hold to our eyes is not quite as wide and fit to the eyes.These are VERY strong binoculars, they are 16x the magnification, the 50 ( the other #) is simply the size of the front lens.. its 50 mm in diameter ( wide)... they are very strong and you can see things very far away. If you need a pair for a concert or a football game or something, then I believe these would be way to powerful and large. ( also I read somewhere, and I think its true that anything over 10x the magnification ( these are 16x) that you should use a tripod, since its too hard to see properly, since it needs to be completely still.",Info,1
790,10909,I learned of this product from a friend that owns a pair. It is the ideal choice for shoreline viewing and mountain range viewing purposes. The price is right and the quality is exceptional.,Bushnell Powerview Binocular,1
791,10919,Very clear and bright optics  Neck strap was a woven wide material not the thin plastic one that some reviews mention.  Maybe they enhanced it?  Case was a nylon ballistic material and more than adequate.  I use a  sturdy tripod (recommended) for the 16x magnification as hands just cant hold them steady enough (at least mine cant).  I doubt you could find a better pair of binoculars with such crisp optics for this price.  I know it blows away my old ones which were Tasco and Canon.,I use a sturdy tripod (recommended) for the 16x magnification as hands just ...,1
792,10930,"I am very pleased with my Zoom PCI modem. It was easy to install, and connects at 56K. This is one of the first times I've ever had a device install without problems. GOOD JOB ZOOM",Very Please,1
793,10941,"I purchased the EarHugger Com7000 which is supposed to be a combined headset with boom microphone.  Either the microphone arrived broken or it generates a signal that is so weak that it won't register on my computer.  In any case, it has proven to be a complete waste of money.  I am using it  with a Sound Blaster Live! card (pretty standard) on a microphone jack that  works fine with an inexpensive Radio Shack microphone.",Wishing I had stayed loyal to Koss...,2
794,10963,"I was very disapointed in the way the internal network cards that came with this product worked in my machines.  Basically, they didn't.  because of the IRQ conlficts I was unable to resolve, I had to turn around and buy  two more NICs (I highly recommend Netgear USB NICs, BTW).  The only reason  I gaive it 3 stars is because of the hub which works well and seems to be  high quality.  3-Com dropped the ball on this one.",Don't be fooled by the 3 stars,2
795,10983,"I bought one for my peer, I found it's HARDWARE-BASED (since it's mac-compatible too), he's using WinME, just plugin, and working right out of box, no install driver, no anything, and no performance loss too, and no power required (draw power from USB) get one when supplies last, but aware of SupraMax, it's soft modem!",rare item...hardware-based USB modem,1
796,11022,"After I purchased the Rio 300, I ordered a flash memory card. It is now 4 months later and I have not received the card. I asked for a refund 3 months ago and have had no response from Diamond's customer service in  spite of sending numerous emails.I also sent in my rebate coupon 3  months ago and have not received it.Thumbs down for Diamond MM.",Rio (Diamond MM) Customer Service is deplorable!,2
797,11035,"I love listening to music, this is the best. Easy to use, excellent sound quality no matter what your musical taste. Download from the net, or record your own play list. It doesn't get any better than this. Less expensive  then other players, but much better. Take it anywhere, it doesn't skip. I  can't say enough about this.",The Best Ever,1
798,11041,"It is cool to have such the technology to listen to music at not have it skip. But Diamond needs work in many areas before they have a great product. First the battery location is not well placed or it needs a better  locking mechanism(mine has tape holding it closed). Second, their customer  service really needs improvement. My first player didn't work correctly. SO  after calling long distance on my dime they sent me out a new one which  intially didn't work. Then I called long distance again to be told that  &quot;this is a common problem&quot; that is not in the manual. But i enjoy  it though.",Flaws,"1,3"
799,11049,"Unlike many of the other Minidisc owners on here, I happen to like MP3. The minidisks are great....but for something small and light to tuck in my pocket, nothing beats the Rio! It's at least half the size and a third the  weight of my minidisk player. And yes, the size DOES make a difference to  many people.I love getting free MP3's off the web, and while I *could*  put them on minidisks, I like being able to every day or so put a  completely different assortment of songs on the Rio to listen to. It's  certainly not much harder than recording a disk and I'm one of those people  that can listen to favorite songs over and over so a little repetition  doesn't bother ME any.Unfortunately, the Rio is not without faults. In  fact, I have a hard time recommending it. 32 meg is definitely NOT enough.  I got a Flash card, and have started having varying problems, first with my  memory being unusable, and then having small chunks become corrupted. Am  now having problems with the player intermittently stopping on its own and  freezing up so I have to remove the battery. Oh, should mention that the  first Rio I got had a broken battery compartment and was returned. Am still  waiting on my rebates. HATE not being able to use it on Windows NT, and not  having USB. And the headsets that come with it are worthless for many  people. Personally, I'm not sure I even want to try the later Rio models,  as I've had so much trouble with this one in only a few months of owning  it.",If only it was better made....,"2,4"
800,11057,"What most of these reviewers are forgetting is that the Diamond Rio 300 was the FIRST MP3 player to hit the market.  And it was a great struggle in the courts to even get it released.I had one of these pre-ordered for  almost 3 months and finally got it 2 days after it was released.  I have  been pretty happy with the way it has held up.  I did a 16 MB upgrade for  it and it seems to hold enough music for me.It is durable, but the  button control now falls off unexpectadly.  This is probably why they moved  away from this design on the 500.Personally, I would still consider this  a very good MP3 player.  When I bought it it was over $200 and I thought  that was a bargin.  I really just depends on what format your music  collection is...mine is 99% MP3, so these little guys are awesome.Update: 1 DEC 2012 - It finally broke.  I also find 32mb slightly limiting in this era of 64gb ipods.",Pretty Damn Good,1
801,11058,"I purchased this product for a wopping $220 US as soon as it was on shelves... I know, kinda a silly thing to do. I've been into the whole MP3 thing since MP2's first came out, so needless to say, I was eigerly  awaiting this product.GOOD - Lightweight, small, quick to upload  toBAD  - Somewhat flimsy design, display is hard to read, holds only 6  songs at CD-QualityUGLY - Bad memory causes skips over time, extra flash  cards are super expensiveSo, my suggestion, if you want something that  is cheap, consider the Rio, at under $100, to be a great substitute for a  tape walkman. If you can afford it, go with MiniDisc, otherwise buy the  Rio, keeping in mind that it is NOT a great alternative to a CD-Diskman, or  an MD-Player!- E-Mail me at nairos@home.com if you have any questions -",First model out  - - - Watch out!,2
802,11065,"Yes you need a computer (my guess is that if you are reading this now you have one) BUT,you can record from radio, tape, dvd, tv, scanner, microphone, telephone, anything that has sound waves!!  Just record the  sound wave with a sound program that records in WAV (i like sound forge)  and then convert it to MP3 (I like to use Audio Catalyst for this one).  But there are many differnt programs you can use to accomplish this.  Then  after you have it converted to MP3, send it to the Rio.Looks like  Diamon has released the Diamond Rio SPECIAL EDITION to quell these  complaints about limited playback time.  It doubles it!  And is upgradable!",Record anything you want!!,1
803,11084,"Anyone considering buying a portable MP3 player please consider: MiniDisc is better!!!  Better quality, cheaper (740 minutes of music for $20 opposed to 60 minutes for $100), and you can just as easily transfer MP3s to  MiniDisc.MP3 players are not worth your hard earned money because: - I  don't care what anyone says near CD quality means, not CD quality. - 32  megs is the maximum storage on a card and it costs you almost $100.  If  you enjoy paying $100 to listen to 5 songs over and over again, fine.  -  Most players are not Mac compatible besides most don't even a use USB  interface. - Most players are manufactured poorly.  If you don't want a  product that will break  wait until respectable companies like JVC make  MP3 players.get a MiniDisc player!",Nice idea but highly impractical.,2
804,11085,"I love this remote.  It's great, and not just for working out.  There is one problem--It reverses the headphones.  For example, if something is supposed to come out of the left one, when the remote is plugged in it  comes out of the right one.  You really dont notice it with regular music,  but definetly with things like Adam Sandler, and talking that uses  different sides for each person.  I still gave it 4 stars though, because I  thought it was a great idea.  Why I didnt give it 5- Both the headphone and  the remote cord seem too long.  I cant clip it to my pocket because I trip  over it...If you have a way around this, definety buy it.",Minor flaw...still cool product,"1,3"
805,11105,This is a great product. I just got it in today and within five minutes it's installed and on the network. I reccomend buying this product and other netgear products before even thinking about buying Linksys products. I bought a linksys PCMPC100 for this laptop and it turned out to be faulty. I sent it back for another and it was bad as well. Now I have this card and it works like a charm.,Excellant product,1
806,11106,"What a headache, after hours of pulling my hair out, the dongles were bad. I purchaced two of these cards and both dongles were defective right out of the box. It seems this is a common problem with the Netgear PCMCIA cards. Sure they were under warranty but who can afford the down time of constant dongle replacement. Avoid this item and get a 3COM product, they never fail.",Netgear FA-410 Network Card for Notebook PCs,"2,3"
807,11112,"Hands down, these are the clearest speakers I have ever heard. The highs are unbelievable, the bass is tight, and the overall sound is flawless. My friends cannot believe their ears when they see these small speakers put out smooth, strong, crystal clear audio.I CANNOT believe Yamaha has stopped producing these speakers. They would outcompete anything on the market. Yamaha needs to begin producing them again. I need to buy another pair in case mine blow out (have had them for 9 years)YAMAHA, PLEASE BRING THESE SPEAKERS BACK TO THE MARKET",Most amazing speakers I've ever heard,1
808,11113,"put all those stupid, fluffy descriptions aside because only 2 words are needed to describe these speakers - THEY ROCK!  Never thought I would pay so little for so much!",Great Speakers,1
809,11128,"I would not normally have purchased $99 speakers for my computer. My first  thought was to spend half that. But in using a $100 gift certificate for  Amazon.com, I only paid for s/h. I am glad I ordered this set. The sound is  great. The trebles and midrange are brilliant and the base is robust. The  two sattelite speakers are small with the volume &amp; power controls as  well as a headphone jack located on the front of the right speaker. I was  able to put the 3rd base unit under my desk. I would recommend this to  anyone who doesn't mind spending the extra money.",Great Sound,1
810,11129,Ok lol this is the down low on speakers and I know speakers. NO point in reading this just BUY! These MF rock plane and simple. OK LOL since your are reading this I assume that you have room only for three. Not that stupid lol ass 5 or 7 set up they show all the time; or try to push on you at electronic stores. Ack ok you still reading this LOL COME ON! It has a solided 5 stars in Amazon. THEY KICK ASS for 3 system set up if you into Gameing or Music they FN rock no matter what. BAH LOL stop reading this and spend the extra cash and buy these speekers!,Ok WTF why are you reading this!,1
811,11135,"These beauties still come through Marketplace now and then, and are worth a close look.  I brought the system home, but it never made it to my computer work station!  That's how good they sound.  Unlike a typical ported enclosure, the bass notes are distinct and clear.  Once I heard the setup, it became my main home stereo.  I got a second and smaller Yamaha setup for multimedia on my computer.No, this system doesn't have quite the imaging of audiophile speakers, nor will it shake the floorboards.  It isn't supposed to -- it's just VERY clean and strong sound at a really good price.  I'm continually pleased after several years of ownership, and I believe you will be too.",Incredibly UNDERpriced sub/sat speaker system,1
812,11138,"I recently upgraded my stock Hewlett Packard Pavillion 9895 speakers to the Yamaha YSTMS50W 80-Watt 3-Piece Subwoofer/Satellite Computer Speakers.  First and foremost, let me tell you one thing: wow, and I really mean WOW, what a great set of computer speakers!Understand: you don't get full blown surround sound with these speakers -- few PC applications necessitate this type of audio quality anyway.  But unlike the higher end 5.1 and 6.1 speakers on the market today, these speakers will, out of the box, work with and optimize the performance of most stock sound cards.  And this is important if you want to get superior performance at a reasonable cost.My only complaint (and it is an exeedingly *small* one) is that the audio controls are split between one satellite speaker (volume and on/off) and the sub woofer (base volume) -- it would be more convenient to have all audio controls on one unit (i.e. on a satellite speaker).  But I can more than live with this almost negligible inconvenience to get the type of sound that these speakers deliver for the price.Net/net:1) Awesome (I would even say unsurpassed) sound quality to cost ratio2) Extremely easy set-up (took me less than 10 minutes -- and this included carrying the box up the stairs to my PC room)3) Wished the connecting wires were longer (the ones that came with my unit restrict satellite speaker placement to within 5 feet of the sub-woofer)4) Needs some industrial design tweaks (i.e. audio controls should all be in one place)5) Rich base, sweet high-ends, and earth shaking volume for you hard rockers or gamers6) MUST HAVE FOR ANY AUDIOPHILE WHO IS ON A BUDGET","FOR GREAT SOUND: highly, highly, highly recommended",1
813,11150,"I bought these for a friend to replace the headphones that my daughter cut with a set of scissors. I would not have bought them for myself, but they are a good set. I could not give them five stars because the set I did buy for myself  are much better quality than these.",Good headphones,1
814,11162,"These Yamaha headphones are perfect for my use: - to be able to hear my horn when I'm overdubbing parts in a recording session (listening to prerecorded music tracks while playing live). These headphones allow me to really hear the natural sound of my horn (trombone) while enabling me to hear what I've playing over..... they sound great!  - also, these phones are great to use when practicing and playing along with CD tracks or iPod tracks for playing jazz, etc. They have a high impedence, so they require you to crank up the volume to get some sound in the phones, but they're perfect for 'play-along' use.",Yamaha headphones for studio or CD play-along use,1
815,11177,"It is regular headphone with special plugin for Yamaha keyboard, but can also plug into cell phone, computer...etc. The sound is the same as w/o headphone. It is convenient when your neighbor is not far away.",Very convenient,1
816,11195,This product should be taken off the market and BURNED!Get your money back!,BAD,2
817,11200,"The images from this camera were incredibly bad. I gave up after taking three pictures. The quality of output is dreadfull. I know its a low end product, but still I expected better than it delivered. Bad images and  incredibly heavy on batteries. Amazon have been excellent, I contacted them  to tell them how bad it was and they've agreed a full refund. I should have  followed the advice from fellow Reviewers. Avoid it, spend another $200  dollars and go for a 'proper' digital camera instead!",Completely Useless Camera - Don't waste your time or money !,"2,3"
818,11213,"Bought one of these from Circuit City and returned it 3 days later.  The  SW freezes up - the clarity is terrible, and it uses four batteries per  download.  Sorry!",Waste of Money,2
819,11248,"I am not an expert, but the ACS48 are much better than the speakers that came with my computer. Great for playing audio cd's, dvd's, and games. Games are very intense sounding. (Diablo 2) It took just a minute or so for me to setup. No software installation is required. I use them with a Sound Blaster live value card. ***Caution*** The satellites are shielded, but the subwoofer is not. There is a possibility of video display interference if the subwoofer is to close (3ft) to the monitor, and the subwoofer is somewhat large, but it works swell right under my desk with no problems. I noticed a major difference right away. Deep bass. Rich sound. I am happy.",Great sound. Very easy setup. Bass sounds teriffic.,1
820,11253,"It's just a phone cord, darn it -- genuine AT&T. I ordered mine in orange to match my old Princess style phone -- looks great and doing just fine. Will probably outlive me...",AT&T Tuff Cord,1
821,11263,"Plug it into a walkman, a cheap dvd player's headset output, or any ghetto audio device for the best bass you will get for your dollar.",Rich Sound,1
822,11274,"Well worth the couple extra dollars to have a well made cord I think will last. I've had it a few months now (March 2013) with no problems. If I have any I'll update the review. The 25' is coiled length. It's about 3-4' without stretching, plenty long enough to reach the filing cabinet etc. without pulling the phone off the desk. I'd buy this again.",Best phone cord I've had,1
823,11280,"This is a great speaker system! I bought it a year ago and is still going great (Speakers are very durible and cords too! - perfect for a dorm).  There are few times when I can even play it loud enough to be distorted.  If you don't want to spend over $100 get this system and save your money.A few low points of concern -Cords should be longer for speaker (only 6 of 7 ft) -Sub could be louder at times -If you can spend $130 - $150 you will get a system that blows this away (Altec Lansing ADA305 PowerCube Speaker System) -It does have a bit of hiss when VERY loudThis system has the best value I believe, hey do really want to play music loud enough to start getting complaints anyway?  If so, get the Altec Lansing ADA305 PowerCube Speaker System - an amazing system!",The BEST for the $buck$,1
824,11290,I had the acs 56 computer speakers and i guess that if you dont have a digital sound card you cannot get the sound quality that it need so I think you should downsize to the ACS 54 because they give out the same sound just like the acs 56 so do the right thing go for the acs54.,GREAT FOR THE PRICE,1
825,11313,"Going on the positive reviews this headset had, I bought it.  But it just didn't fit right on my average size and shape ears.  It isn't adjustable  and fell off many times.  If you have the opportunity to try this headset  before you buy it, I say GO FOR IT--if it fits you, it's worth all the  money.  However, this is not a good item to buy sight unseen.",I got what I paid for,1
826,11336,"This is a great bargain, excellent sound and it looks good too.  Only one fault, the headphones are not very robust - mine broke quite easily.",GOOD VALUE BUT WITH DIFFERENT HEADPHONES,1
827,11364,I LOVE IT IT CAME WITH ALOT OF STUFF AD ALL OF IT WORKED THE BASS IS FOR ROCK MUSIC IT LOOKS GREAT AND YOU CAN SHAKE IT TILL YOU GET TIRED AND THE THING WONT SKIP I DROPED IT WHILE I ROAD MY BIKE AND IT STILL WORKS THE  AWIA SUCKS THE BIG ONE AWIA MAKES GREAT STERIOS NOT CD PLAYERS GET IT WHILE  YOU CAN THE ICE BLUE,THE BEST CD PLAYER IN THE MAEKET ITS TRUE,1
828,11376,"I received my CD yesterday and I am extremely impressed. Believe me, this product is of very good quality. A very good deal! Ultra-slim, smooth base, nice-n-lite and a cool transparent design. I love this!!! Check it out!",BLUE ICE IS HOTTT!!!,1
829,11381,"The Casio PZ4000B personal CD player features a 40-second antishock memory, so you can enjoy your favorite  CDs during any activity. Bass boost cranks up the low end with just the push of a button, and the 20-track  programmable memory lets you customize CD playback to your liking. The player also features repeat play  functions (1/all) and a two-digit LCD screen. If you are on the move like me, you should invest the extra money, and buy a player with an anti skip feature, like this one.  As well, the Ultra slim feature of this product makes it handy to even carry in a large pocket, if you are walking down the street with a jacket or even pants with larger pockets.  It is a very attractive player, and the car kit is a definite bonus. The one downer about the product is the chinsy headphones that comes with it.  Casio always seems to have headphones that I could get for free on an airplane.  Koss has the upper hand in this department. But alas, I still give it 4 stars, because I have always had great success with Casio products, and this machine has so many excellent features.  I would DEFINATELY recommend this product, it has served me well!  Hope this review was helpful!  Like Neil Young says, keep on rockin' it the free world...peace.",GOOD BUY! SERIOUSLY!!,1
830,11396,"This is by far the BEST base unit available at the current time.  With computer control, excellent trunk tracking and clear 800Mhz.  sound its a TRUE winner.  The only thing we need in the next model is ALPHA TEXT so  that instead of saying Trunk ID: 654321 it can be  programmed to say: LA  Police TAC 1",Uniden Clearer than Radio Shack Scanners,1
831,11418,"I was skeptical about ordering these simply because of the low price. These were less than $2 while other sellers had them for $6~$16. But no, these work super. This boom mic works better than a $15 Zalman I bought which were in the \recommended\ section of the headphones I ordered.Xbox 360 setup- Sennheiser HD 595- Astro mixamp- Labtec mic",Works perfect on my Xbox 360,1
832,11426,"The QuickCam VC (parallel port version) has been nothing but trouble since I purchased it.  It was impossible to install.  It never functioned properly.  I was never able to get it to work.  Customer support is only  from 9-5 M-F (and long distance), so it was of no help to me.  Once I got  throught with customer support they were unable to fix the problem.This  is the last device I buy from logitech!",This camera is a dud!,"2,3"
833,11439,"This is the second trackball I have owned.  I immediately noticed how well it fit my hand.  The buttons and ball have a high quality, expensive feel.  It works effortlessly, and can make hours of work (or school) easier.  A  lot of product for the price.",excellent product for the price,1
834,11442,"As I write this I am sad to say that my trackball is finally starting to show its age as it is becoming difficult to register clicks after 15 years of solid, daily use.The design put years back on the life of my wrist and saved me from certain carpal tunnel issues.It is not easy for everyone to get used to it as I have laughed at many who have tried to use my pc for something quick, but just like anything else it has a learning curve and I simply cannot imagine life without it.I came to Amazon hoping I could somehow score one of these without destroying my bank account and I fell on the floor when I saw what people are charging.The sad part is that I actually considered spending $500 on getting one of these for a few moments.If I knew 100% that any of these ridiculously priced trackball FXs on here were brand new, I would actually buy one.THAT is how good this thing is.",simply amazing and flat out baffling why it is no longer made,1
835,11455,"I'm writing this review in 2014, many many years after this device has disappeared from the company's product lineup. I can state that this is the best input device I've ever used. I've owned several, and had them on my work and home computers for very detailed CAD, 3D modeling, and precision Photoshop work. The downside with this (and any trackball or mouse) is that dust accumulates inside the housing but this is super easy to clean when it does. I occasionally think about replacements, even though it looks funny, even outdated, no one makes a &#34;fingertip&#34; controlled trackball with ergonomics quite like this so I stick with it. Logitech if you're out there, please bring us a modern version!!",Best trackball ever.,1
836,11479,"Lousy quality caught up with them. Web site is gone, along with any hope of working drivers. I imagine they are out of business completely.",Don't! InterAct is gone!,2
837,11489,Great controler for Arcade racing games!I rule Need For Speed High Stakes with this controler.,Great controler!!!,1
838,11493,"I purchased this keyboard after my wife spilled water on my old one and  shorted it.  It's proven to be very reliable, not super quiet, but not  noisy either.  Even though I eventually upgraded to the Microsoft Internet  Keyboard Pro (and drinks are now banned from the computer room), I still  use the Logitech at work with my laptop, and it's still going strong.  Not  much else you can say about a basic 104 key keyboard, but essentially it  boils down to comfort and reliability, and this keyboard delivers strongly  on both counts.","Solid, reliable, and inexpensive.",1
839,11499,"This is the first real camera I've ever bought and I'm glad I made the investment. When shopping around for a camera, I was looking for a few main things. It had to be:1. Easy to use2. Portable, not a hassle to lug around3. in my price range (under $70)This camera is ,of course all three. I didn't know about APS cameras before i bought this camera. I've seen my mom struggle trying to put film in her 35mm and that made me want to stick with disposables and it also made me apprehensive about buying a camera. Then i found out about APS and it I was like Hallelujah! It was a godsend for a klutz like me. Just drop the film in and the camera does the rest.When I first saw this camera, i couldn't believe there was a camera this small. It literally fits in the palm of my hand. I'm a big girl but it'll seem small to you too. I carry it in my purse because you never know when you'll need a picture. It hardly weighs anything so it's not a burden. It's small enough for jacket or shirt pockets.Because this was going to be my first camera and all, I wanted to get something that was reasonably priced yet didn't lack in quality. Canon being a respected brand, this was an easy choice.I have no regrets so far with this camera and i doubt I'll have any in the future. My pictures turn out great and i like the date/time imprint feature (on the back of photo). Although the Elph LT has no zoom it takes pretty good pictures. I know for sure when I'm ready for another camera, I'll get another Canon Elph, but with zoom. Overall this camera is great. It's stylish, easy to use and affordable.",Great camera at a great price,1
840,11501,"This is a great little (very, very little) camera, which is easy to take anywhere and produces very good snapshots.  We have used it for several years now, and are extremely satisfied with it.  It also uses the new multi-format film, which allows you to take portrait and panorama shots from the same roll.  It's been a great camera.","Incredibly tiny, Great Photos",1
841,11511,"Like a lot of the other reviewers have said, this camera takes great pictures!  Clear and crisp!  And I'm the kinda person that takes pictures hanging out the car window and on the back of a 4 wheeler.  It's as if I was standing still!  It's so nice to be able to capture a panoramic picture whenever you want, and be able to switch back to regular sized photos with the touch of a button.  And all on the same roll of film.  So easy.  I would highly recommend this camera!  And with such a low price, you cant go wrong.",Awesome camera for the price,1
842,11515,"I have now used my logitect quickcam for almost three years and I am just as pleased with it now as when I first bought it. It was the first webcam I purcased and without knowing much about computers I found it very easy to install the webcam and get started. I use it regulary (3-4 times a week) both the video conferencing (using netmeeting) and the picture captures using the quick cam pro software that comes with the webcam. I have had no problems with the video conferencing, the picture and speed is very great. I have checked the speed of the video conferencing by talking on a regular phone at the same time and found that the movements of the lips fits with the sound over the phone. I am also very pleased with the quality of the pictures and they are very easy to email. A great product that has helped me keeping my longdistance relationship last.I can highly recoment this product to others and hope they will be just as pleased with the product as I am.Maria.",great product,1
843,11519,The modem itself was quite good. Unfortunately my dog chewed the cord and because the interface was not compatible with anything else I had to order a new modem.,PCMCIA 56K Modem,1
844,11532,"I bought this keyboard for a network server figuring that I would save a few bucks since it wouldn't be used much. There are, however, two main problems with it.1) The keyboard seems incompatible with any monitor A/B switches. I've tried several, but they all lock the keyboard up, which forces me to unplug the keyboard and plug it back in for it to work.2) The control and shift keys 'stick'. They aren't actually stuck down, but they often 'act' as if they're stuck. To cure it, I have to press both shift buttons or both control buttons.This keyboard, in my opinion, isn't worth the money for what I use it for and it'll be replaced as soon as possible.",You Get What You Pay For,"2,3"
845,11536,"Why pay more for Microsoft's Natural keyboard, when you can get this one MUCH cheaper?! Once you try an ergonomic keyboard, you'll never want the old straight ones again. The ergo's are SO much easier on the wrist &amp; hand. This one has all the features you need, at a great price. And it works using the Microsoft Natural keyboard driver, allready installed in all versions of Windows. A great product at a great price!",Affordable Comfort,1
846,11538,"Don't be misled by the name of this product--It doesn't only work with Windows 98!  I am using it with Windows 2000 and it's great.  There are 21 extra buttons at the top of the keyboard that allows you to control multimedia programs easily, launch the calculator program, launch the web browser, etc.; very convenient.  And the keys are pretty quiet.  The best of all keyboards I have used.",very happy with it,1
847,11539,"I just recieved this product today, and already I think it is the best computer add-on yet. The infrared feature is spectacular. I have not had any problems with it, and the installation is idiot-proof. Trust me. The  key space is that of a laptop, but that is no worse; the built in mouse  more than makes up for it. This is a  must-have-even-if-I-have-to-earn-the-money.",Chad's Infrared Keyboard Review,1
848,11547,"It's almost as if Aiwa took a pair of really poor headphone speakers and put them in a really nice shell.  They are comfortable, but the Sony headphones which these replaced sounded much better.  But hey, what can you  expect for 10 bucks? I would recommend buying a pair of sony headphones  which don't look quite as flashy if sound quality is your highest priority.","Comfortable, but mediocre sound quality.",1
849,11550,"These headphones are one of the worst purchases I ever made. They look cheap, feel cheap, as if they're about to fall apart. The sound quality fades and gets staticy when my laptop moves. Sometimes you can even here  the lowest level of static when the laptop is not moving. It's extremely  annoying. Additionally, the headphones have terrible staticy base, and  horrendous treble as well. You're better off with a 2.50$ set of headphones  that fit in your ear, if you want to be cheap, or if you want wrap around  headphones, get something else. This has got to be one of the worst  purchases I've made in the last year.","cheap construction, bad performance, static/fading when...","2,3"
850,11585,I don't know what's with all the negative feed back but I bought this product and it works just fine! You know what? It even works better then how they describe it!,Great!,1
851,11594,"Not quite the product I expected, but adequate for the price.  The voice level required for VOX operation leaves more to be desired.  Not useful in noisy situations.Excellent shipping and delivery.  Faster than anticipated.",Not what I expected.,"2,3"
852,11601,"Not a bad item, but there is no push-to-talk button on it, forcing you to use that horrible VOX. Heavy breathing, talking to other people (not intending on talking on the radio), any anything else loud in the area will trigger it.If you like VOX, it's okay. Otherwise, there are other options on the market.",No PTT,"2,3"
853,11610,Our non-profit theatre organization uses these headsets with radios to communicate during shows.The previous headsets fit over the ear and were difficult to keep in place.These headsets are better since they are worn over the head.,Very usable headsets.,1
854,11614,"I bought these to use with motorola 2-way radios for officiating swim meets. They work as well as I expected. They are not professional level headsets; but, they are good enough to make communications between officials understandable in very noisy conditions. They are a good buy for the money.",Does what I need,1
855,11618,"Looks like sONY took a good, cheap, one side line headphone off the market,tho still available at some retailers.  Cant figure out why they would do this... I'm notgoing to spend a whole lot more for  what I want.... a headphone to use to fall asleep,much better when its one-sided line connection, and this is the best one for the  bestprice.  get em while you can.",wish SONY didnt discontinue  this,1
856,11654,There is a slight delay when you push the Push-To-Talk button on the earbud.  However it works well.  I receive messages clearly.  I'm not a big fan of earbud-type headsets because they do not stay in my ear well and I'm constantly adjusting them.  I wish Motorola made a headset that hooks over the ear.,Motorola TalkAbout Earbud,"1,3,4"
857,11662,this mic was good for up to about 30 feet then you cant really hear anything so i dont really recommend this to anyone,crap,1
